CENSUS_TRACT_NUM,POS_COUNT
6037101400,1
6037104403,2
6037104703,2
6037106510,1
6037109601,4
6037109700,6
6037111206,2
6037113102,1
6037113235,1
6037115301,3
6037115401,5
6037117202,3
6037119201,4
6037120010,5
6037120107,5
6037121802,2
6037123800,2
6037124300,1
6037124400,4
6037125102,3
6037127711,4
6037128101,4
6037131600,5
6037132001,5
6037132101,4
6037132502,5
6037132900,5
6037134002,5
6037134303,1
6037134306,3
6037134802,3
6037135102,2
6037135111,3
6037135204,2
6037137000,2
6037139402,2
6037139802,1
6037141201,4
6037141305,2
6037143101,3
6037143302,4
6037143402,3
6037143700,1
6037181000,3
6037183104,3
6037183402,2
6037188201,3
6037188300,2
6037189703,2
6037195100,3
6037197200,3
6037199120,1
6037199700,2
6037201402,1
6037204910,1
6037221220,1
6037228420,1
6037241120,1
6037242202,1
6037276601,1
6037300701,1
6037301602,2
6037302103,4
6037310800,3
6037320202,6
6037400208,1
6037401001,2
6037401304,1
6037401801,2
6037402200,1
6037402703,1
6037402902,3
6037403327,1
6037403401,1
6037403403,1
6037403408,3
6037403722,2
6037404301,2
6037404600,2
6037405102,3
6037405203,5
6037405900,4
6037406413,2
6037406702,2
6037406801,2
6037407002,9
6037407501,5
6037407702,4
6037407802,2
6037408302,1
6037408402,5
6037408625,6
6037408626,3
6037408703,4
6037430101,5
6037430200,4
6037430400,4
6037430502,3
6037430701,6
6037431004,7
6037431200,2
6037431501,5
6037431900,1
6037432402,3
6037432502,8
6037432901,2
6037433200,7
6037433602,7
6037433901,2
6037434100,5
6037461200,3
6037461901,5
6037461902,1
6037462500,3
6037463200,3
6037463400,1
6037463500,2
6037463602,2
6037463800,2
6037464101,6
6037464102,4
6037480002,9
6037480011,1
6037480012,2
6037480201,3
6037480500,6
6037480601,11
6037481101,3
6037481500,5
6037481714,2
6037481902,3
6037482303,1
6037482600,1
6037500100,5
6037500300,5
6037500403,4
6037502700,4
6037503105,4
6037503201,7
6037503502,7
6037503602,4
6037503705,5
6037504200,3
6037530007,2
6037530102,3
6037530202,4
6037530400,3
6037531102,1
6037532302,3
6037532303,2
6037533402,3
6037534102,2
6037534301,1
6037534302,2
6037535101,1
6037540000,3
6037540102,2
6037540300,1
6037541003,1
6037550802,3
6037551102,4
6037551900,2
6037552601,5
6037553100,8
6037553901,2
6037554512,2
6037554521,4
6037554802,5
6037555211,7
6037571000,5
6037571102,3
6037571300,2
6037573402,2
6037600911,1
6037600912,1
6037603102,1
6037650802,1
6037670202,1
6037900508,1
6037980007,2
6037980009,4
6037980015,1
6037980022,6
6037980024,9
6037980034,5
6037980037,1
6037980038,1
