week,dead_bird_number,result,tract_num
22,22-470,Positive,06113010602
28,22-820,Positive,06113010607
31,22-993,Positive,06113010505
31,22-996,Positive,06113010602
32,22-1055,Positive,06113010611
33,22-1116,Positive,06113010611
34,22-1174,Positive,06113010611
34,22-1189,Positive,06113010508
35,22-1209,Positive,06113010505
35,22-1226,Positive,06113010511
35,22-1222,Positive,06113010509
35,22-1225,Positive,06113010509
36,22-1248,Positive,06113010609
36,22-1279,Positive,06113010602
36,22-1276,Positive,06113010505
36,22-1288,Positive,06113010509
37,22-1294,Positive,06113010611
37,22-1300,Positive,06113010315
37,22-1311,Positive,06113010610
37,22-1302,Positive,06113010315
37,22-1304,Positive,06113010611
37,22-1309,Positive,06113010602
38,22-1345,Positive,06113010510
38,22-1371,Positive,06113010701
19,22-172,Negative,06113010310
19,22-166,Negative,06113011102
19,22-173,Negative,06113011208
20,22-289,Negative,06113011207
20,22-295,Negative,06113010310
20,22-296,Negative,06113010310
20,22-315,Negative,06113010505
22,22-426,Negative,06113011103
22,22-437,Negative,06113011500
22,22-483,Negative,06113010102
23,22-515,Negative,06113010310
23,22-526,Negative,06113011304
23,22-522,Negative,06113010511
23,22-530,Negative,06113010510
23,22-538,Negative,06113010512
23,22-537,Negative,06113010401
23,22-548,Negative,06113010102
24,22-587,Negative,06113010607
24,22-616,Negative,06113010510
24,22-636,Negative,06113010704
25,22-653,Negative,06113010508
25,22-654,Negative,06113010508
25,22-658,Negative,06113011001
25,22-669,Negative,06113010605
25,22-678,Negative,06113010510
25,22-684,Negative,06113010401
25,22-691,Negative,06113010508
25,22-690,Negative,06113010607
26,22-700,Negative,06113011002
26,22-724,Negative,06113010511
26,22-733,Negative,06113011002
26,22-742,Negative,06113010401
29,22-873,Negative,06113010511
29,22-899,Negative,06113010505
33,22-1088,Negative,06113010401
33,22-1111,Negative,06113010607
35,22-1205,Negative,06113010509
35,22-1200,Negative,06113010610
35,22-1198,Negative,06113010605
35,22-1199,Negative,06113010605
36,22-1269,Negative,06113010508
36,22-1267,Negative,06113010510
38,22-1365,Negative,06113011208
39,22-1400,Negative,06113010701
39,22-1402,Negative,06113010510
41,22-1435,Negative,06113011210
41,22-1472,Negative,06113010608
41,22-1482,Negative,06113010704
42,22-1508,Negative,06113011210
